epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.719,1.34043,0.77943,1.0862,0.91655,0.83967,0.9056,0.52496,1.32805,0.665,1.01948,0.0671218,0.000332103,0.000332103
2,237.665,1.31045,0.67742,1.07676,0.90554,0.85225,0.91122,0.56651,1.21319,0.70113,0.98537,0.0341211,0.000664778,0.000664778
3,350.4,1.30978,0.66905,1.07484,0.91191,0.87655,0.91182,0.52626,1.25885,0.63366,0.98594,0.00111979,0.000996792,0.000996792
4,456.87,1.26357,0.6233,1.05266,0.9393,0.883,0.92348,0.57479,1.21987,0.56514,0.98282,0.00099703,0.00099703,0.00099703
5,569.113,1.20185,0.59182,1.02866,0.94218,0.89831,0.93638,0.59647,1.1752,0.55632,0.96324,0.00099604,0.00099604,0.00099604
6,681.859,1.1763,0.58423,1.01937,0.94731,0.90038,0.93724,0.60808,1.13316,0.52435,0.94841,0.00099505,0.00099505,0.00099505
7,793.945,1.13123,0.54736,1.00312,0.95703,0.91647,0.94539,0.63856,1.08479,0.49297,0.93044,0.00099406,0.00099406,0.00099406
8,905.247,1.13064,0.53753,1.00122,0.94403,0.91887,0.94293,0.6302,1.07519,0.50197,0.93048,0.00099307,0.00099307,0.00099307
9,1012.12,1.11509,0.52611,0.99089,0.95515,0.91765,0.94558,0.64111,1.06105,0.47998,0.92471,0.00099208,0.00099208,0.00099208
10,1123.77,1.08287,0.51647,0.98833,0.95723,0.92086,0.94799,0.64387,1.04558,0.46562,0.92269,0.00099109,0.00099109,0.00099109
11,1243.08,1.06942,0.5037,0.97463,0.94824,0.91741,0.94301,0.6435,1.04727,0.46424,0.91836,0.0009901,0.0009901,0.0009901
12,1353.43,1.05621,0.49575,0.97186,0.95641,0.9177,0.95076,0.65067,1.04528,0.45629,0.91918,0.00098911,0.00098911,0.00098911
13,1471.91,1.04543,0.53779,0.9712,0.96049,0.9111,0.94854,0.65908,1.01666,0.45235,0.91178,0.00098812,0.00098812,0.00098812
14,1586.94,1.03477,0.484,0.96705,0.96248,0.93614,0.95213,0.66137,1.0159,0.43155,0.9131,0.00098713,0.00098713,0.00098713
15,1703.44,1.02859,0.47896,0.9664,0.95818,0.92663,0.95259,0.66177,1.01283,0.43307,0.91302,0.00098614,0.00098614,0.00098614
16,1822.07,1.01061,0.46859,0.96203,0.96338,0.92935,0.95369,0.66909,0.99477,0.42873,0.90534,0.00098515,0.00098515,0.00098515
17,1937.11,1.01707,0.46212,0.95935,0.95874,0.92547,0.94885,0.66044,1.00346,0.43505,0.90845,0.00098416,0.00098416,0.00098416
18,2046.85,1.00953,0.46632,0.95828,0.96704,0.92352,0.94982,0.66983,1.00015,0.43177,0.9071,0.00098317,0.00098317,0.00098317
19,2158.43,0.98892,0.46084,0.95154,0.96408,0.91675,0.9483,0.66073,1.03032,0.43732,0.91461,0.00098218,0.00098218,0.00098218
20,2269.77,0.99922,0.45823,0.96457,0.963,0.9309,0.95637,0.67869,0.99487,0.41439,0.90619,0.00098119,0.00098119,0.00098119
21,2385.36,0.98535,0.4511,0.95187,0.96589,0.93441,0.9535,0.66313,1.00334,0.42066,0.9072,0.0009802,0.0009802,0.0009802
22,2491.83,0.9868,0.45123,0.95166,0.96036,0.93097,0.95345,0.6679,0.9905,0.41803,0.90185,0.00097921,0.00097921,0.00097921
23,2601.95,0.98776,0.45193,0.95752,0.96422,0.93104,0.95414,0.6683,0.99751,0.41884,0.9054,0.00097822,0.00097822,0.00097822
24,2709.42,0.97045,0.44416,0.94348,0.96216,0.93595,0.95315,0.67021,0.97452,0.41427,0.90229,0.00097723,0.00097723,0.00097723
25,2819.42,0.96753,0.44283,0.94395,0.96728,0.91794,0.95144,0.66242,1.00127,0.4215,0.90673,0.00097624,0.00097624,0.00097624
26,2927.06,0.96384,0.43638,0.94458,0.96577,0.93093,0.95503,0.67161,0.97944,0.41258,0.89861,0.00097525,0.00097525,0.00097525
27,3034.81,0.96083,0.43593,0.94617,0.9667,0.93534,0.95614,0.68035,0.97131,0.40648,0.89545,0.00097426,0.00097426,0.00097426
28,3148.57,0.95966,0.43297,0.93988,0.96101,0.93129,0.95474,0.67343,0.97404,0.41103,0.8976,0.00097327,0.00097327,0.00097327
